step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
84,4,4,0,44511,36811,2317581,2890522,269461612169,4040768,0
85,4,4,0,44966,36805,2317581,2890522,272569811688,4085734,0
86,4,4,0,45475,36774,2317581,2890522,275677326800,4131209,0
87,4,4,0,66254,36766,2317581,2890522,278785387198,4197463,0
88,4,4,0,44278,36783,2317581,2890522,281919600265,4241741,0
89,4,4,0,44426,36813,2317581,2890522,285044730867,4286167,0
90,4,4,0,44344,36813,2317581,2890522,288163626337,4330511,0
91,4,4,0,44650,36817,2317581,2890522,291277504582,4375161,0
92,4,4,0,44703,36812,2317581,2890522,294388221008,4419864,0
93,4,4,0,45309,36792,2317581,2890522,297496924607,4465173,0
94,4,4,0,66200,36771,2317581,2890522,300605249177,4531373,0
95,4,4,0,44547,36780,2317581,2890522,303740171444,4575920,0
96,4,4,0,44279,36747,2317581,2890522,306866365166,4620199,0
97,4,4,0,44523,36794,2317581,2890522,309985293205,4664722,0
98,4,4,0,44507,36752,2317581,2890522,313099461731,4709229,0
99,4,4,0,44719,36768,2317581,2890522,316210051393,4753948,0
100,4,4,0,45213,36741,2317581,2890522,319318440137,4799161,0
101,4,4,0,46023,36769,2317581,2890522,322426408956,4845184,0
102,4,4,0,64508,36726,2317581,2890522,325535407049,4909692,0
103,4,4,0,44416,36784,2317581,2890522,328667980134,4954108,0
104,4,4,0,44592,36763,2317581,2890522,331791840552,4998700,0
105,4,4,0,44566,36766,2317581,2890522,334909835353,5043266,0
106,4,4,0,44768,36782,2317581,2890522,338023440721,5088034,0
107,4,4,0,44954,36781,2317581,2890522,341133936515,5132988,0
108,4,4,0,45635,36726,2317581,2890522,344242777563,5178623,0
109,4,4,0,64743,36754,2317581,2890522,347351711060,5243366,0
110,4,4,0,44650,36759,2317581,2890522,350485026865,5288016,0
111,4,4,0,44515,36780,2317581,2890522,353609737487,5332531,0
112,4,4,0,44759,36781,2317581,2890522,356727861014,5377290,0
113,4,4,0,44733,36754,2317581,2890522,359841889032,5422023,0
114,4,4,0,45053,36789,2317581,2890522,362952390887,5467076,0
115,4,4,0,45278,36762,2317581,2890522,366061364070,5512354,0
116,4,4,0,64808,36712,2317581,2890522,369169283287,5577162,0
117,4,4,0,44518,36770,2317581,2890522,372302786106,5621680,0
118,4,4,0,44927,36747,2317581,2890522,375426985145,5666607,0
119,4,4,0,44421,36781,2317581,2890522,378545583744,5711028,0
120,4,4,0,44894,36756,2317581,2890522,381658689125,5755922,0
121,4,4,0,45024,36786,2317581,2890522,384769184708,5800946,0
122,4,4,0,45440,36750,2317581,2890522,387877581365,5846386,0
123,4,4,0,45768,36760,2317581,2890522,390985571315,5892154,0
124,4,4,0,63151,36759,2317581,2890522,394093941627,5955305,0
125,4,4,0,44816,36745,2317581,2890522,397224227975,6000121,0
126,4,4,0,44869,36789,2317581,2890522,400346773555,6044990,0
127,4,4,0,44792,36779,2317581,2890522,403463854640,6089782,0
128,4,4,0,44898,36792,2317581,2890522,406576922664,6134680,0
129,4,4,0,45374,36796,2317581,2890522,409686808458,6180054,0
130,4,4,0,45670,36738,2317581,2890522,412795896167,6225724,0
131,4,4,0,63128,36746,2317581,2890522,415904573290,6288852,0
132,4,4,0,44935,36730,2317581,2890522,419035741283,6333787,0
133,4,4,0,45009,36754,2317581,2890522,422159182937,6378796,0
134,4,4,0,44814,36753,2317581,2890522,425277045494,6423610,0
135,4,4,0,45180,36763,2317581,2890522,428390460361,6468790,0
136,4,4,0,44920,36763,2317581,2890522,431501417649,6513710,0
137,4,4,0,45836,36760,2317581,2890522,434609786613,6559546,0
138,4,4,0,46159,36721,2317581,2890522,437718451379,6605705,0
139,4,4,0,61762,36757,2317581,2890522,440827454616,6667467,0
140,4,4,0,44850,36755,2317581,2890522,443956400078,6712317,0
141,4,4,0,45203,36768,2317581,2890522,447077669110,6757520,0
142,4,4,0,44733,36791,2317581,2890522,450194499519,6802253,0
143,4,4,0,45369,36794,2317581,2890522,453306735139,6847622,0
144,4,4,0,45260,36776,2317581,2890522,456416937548,6892882,0
145,4,4,0,46051,36767,2317581,2890522,459525460937,6938933,0
146,4,4,0,61828,36738,2317581,2890522,462634548788,7000761,0
147,4,4,0,45025,36787,2317581,2890522,465763869530,7045786,0
148,4,4,0,45310,36814,2317581,2890522,468885780802,7091096,0
149,4,4,0,44886,36804,2317581,2890522,472002992216,7135982,0
150,4,4,0,45484,36807,2317581,2890522,475116042206,7181466,0
151,4,4,0,45105,36774,2317581,2890522,478227109030,7226571,0
152,4,4,0,46120,36785,2317581,2890522,481335913200,7272691,0
153,4,4,0,61281,36732,2317581,2890522,484445217385,7333972,0
154,4,4,0,45470,36734,2317581,2890522,487573799987,7379442,0
155,4,4,0,45255,36760,2317581,2890522,490696507138,7424697,0
156,4,4,0,45091,36765,2317581,2890522,493813806819,7469788,0
157,4,4,0,45070,36771,2317581,2890522,496927223192,7514858,0
158,4,4,0,45531,36773,2317581,2890522,500037862117,7560389,0
159,4,4,0,45721,36768,2317581,2890522,503147058887,7606110,0
