step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
0,1,1,0,0,492,57425,29703,62683894,0,0
1,1,1,0,83,539,56822,30306,120507573,83,0
2,1,1,0,2029,537,56226,30902,174904915,2112,0
3,1,1,0,204,559,55638,31490,231968363,2316,0
4,1,1,0,1082,554,55054,32074,286148015,3398,0
5,1,1,0,602,560,54478,32650,340729568,4000,0
6,1,1,0,816,535,53903,33225,394071051,4816,0
7,1,1,0,1200,596,53335,33793,447368559,6016,0
8,1,1,0,647,527,52773,34355,501053700,6663,0
9,1,1,0,792,589,52216,34912,553963276,7455,0
10,1,1,0,625,536,51660,35468,606594539,8080,0
11,1,1,0,832,556,51109,36019,658550136,8912,0
12,1,1,0,709,541,50566,36562,710552033,9621,0
13,1,1,0,1153,573,50031,37097,762251177,10774,0
14,1,1,0,757,555,49502,37626,814587993,11531,0
15,1,2,1,658,551,48979,38149,866680391,12189,0
16,2,2,0,775,559,48460,38668,918251011,12964,0
17,2,2,0,687,549,47953,39175,969745638,13651,0
18,2,2,0,786,546,47460,39668,1020883825,14437,0
19,2,2,0,739,565,46969,40159,1072031928,15176,0
20,2,2,0,1071,560,46497,40631,1123018945,16247,0
21,2,2,0,742,550,46034,41094,1174587818,16989,0
22,2,2,0,685,555,45581,41547,1225913872,17674,0
23,2,2,0,786,539,45138,41990,1276846550,18460,0
24,2,2,0,675,541,44711,42417,1327787607,19135,0
25,2,2,0,801,555,44301,42827,1378417160,19936,0
26,2,2,0,721,547,43907,43221,1429132386,20657,0
27,2,2,0,763,555,43534,43594,1479673710,21420,0
28,2,2,0,977,549,43187,43941,1530200773,22397,0
29,2,2,0,737,551,42873,44255,1580974494,23134,0
30,2,2,0,707,549,42599,44529,1631615368,23841,0
31,2,3,1,759,552,42339,44789,1682001903,24600,0
32,3,3,0,724,554,42118,45010,1732397415,25324,0
33,3,3,0,750,570,41934,45194,1782663265,26074,0
34,3,3,0,722,559,41789,45339,1832889836,26796,0
35,3,3,0,993,572,41676,45452,1883069443,27789,0
36,3,3,0,708,569,41592,45536,1933549529,28497,0
37,3,3,0,752,551,41523,45605,1983836822,29249,0
38,3,3,0,740,568,41464,45664,2034070368,29989,0
39,3,3,0,698,550,41421,45707,2084300488,30687,0
40,3,3,0,760,551,41383,45745,2134344867,31447,0
41,3,3,0,726,556,41353,45775,2184417528,32173,0
42,3,3,0,783,550,41327,45801,2234445584,32956,0
43,3,3,0,940,544,41310,45818,2284518754,33896,0
44,3,3,0,720,567,41300,45828,2334806360,34616,0
45,3,3,0,715,569,41293,45835,2384951807,35331,0
46,3,3,0,736,537,41288,45840,2434972648,36067,0
47,3,4,1,738,561,41284,45844,2484953526,36805,0
48,4,4,0,737,556,41280,45848,2534991149,37542,0
49,4,4,0,730,559,41276,45852,2585098466,38272,0
50,4,4,0,994,569,41273,45855,2635227650,39266,0
51,4,4,0,738,564,41271,45857,2685707770,40004,0
52,4,4,0,720,570,41270,45858,2736190511,40724,0
53,4,4,0,730,564,41269,45859,2786578953,41454,0
54,4,4,0,713,573,41268,45860,2836936837,42167,0
55,4,4,0,755,554,41267,45861,2887172231,42922,0
56,4,4,0,753,554,41266,45862,2937439676,43675,0
57,4,4,0,998,570,41265,45863,2987750603,44673,0
58,4,4,0,717,561,41265,45863,3038405594,45390,0
59,4,4,0,706,562,41265,45863,3088892969,46096,0
60,4,4,0,737,580,41265,45863,3139256273,46833,0
61,4,4,0,706,544,41265,45863,3189589356,47539,0
62,4,4,0,819,564,41265,45863,3239834499,48358,0
63,4,4,0,657,564,41265,45863,3290301583,49015,0
